Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS,teamId
2019-20,NBA,Portland Trail Blazers,29,37,0.439,4th of 5,-1.11,100.7,0.5,112.5,2.1,114.1,3.7,,T. Stotts (29-37),D. Lillard (9.6),29
2018-19,NBA,Portland Trail Blazers*,53,29,0.646,2nd of 5,4.43,99.1,-0.9,114.7,4.3,110.5,0.1,Lost W. Conf. Finals,T. Stotts (53-29),D. Lillard (12.1),29
2017-18,NBA,Portland Trail Blazers*,49,33,0.598,1st of 5,2.6,96.5,-0.8,109.1,0.5,106.4,-2.2,Lost W. Conf. 1st Rnd.,T. Stotts (49-33),D. Lillard (12.6),29
2016-17,NBA,Portland Trail Blazers*,41,41,0.5,3rd of 5,-0.23,96.7,0.3,110.3,1.5,110.8,2,Lost W. Conf. 1st Rnd.,T. Stotts (41-41),D. Lillard (10.4),29
2015-16,NBA,Portland Trail Blazers*,44,38,0.537,2nd of 5,0.98,96,0.2,108.8,2.4,108,1.6,Lost W. Conf. Semis,T. Stotts (44-38),D. Lillard (9.2),29
2014-15,NBA,Portland Trail Blazers*,51,31,0.622,1st of 5,4.41,94.2,0.3,108.2,2.6,103.7,-1.9,Lost W. Conf. 1st Rnd.,T. Stotts (51-31),D. Lillard (10.6),29
2013-14,NBA,Portland Trail Blazers*,54,28,0.659,2nd of 5,4.44,94.9,1,111.5,4.8,107.4,0.7,Lost W. Conf. Semis,T. Stotts (54-28),D. Lillard (9.6),29
2012-13,NBA,Portland Trail Blazers,33,49,0.402,4th of 5,-2.53,91.4,-0.6,105.8,-0.1,109.2,3.3,,T. Stotts (33-49),L. Aldridge (7.2),29
2011-12,NBA,Portland Trail Blazers,28,38,0.424,4th of 5,-0.22,91.2,-0.1,105.7,1.1,106.4,1.8,,N. McMillan (20-23) K. Canales (8-15),L. Aldridge (7.0),29
2010-11,NBA,Portland Trail Blazers*,48,34,0.585,3rd of 5,1.85,87.9,-4.2,108.8,1.5,107.1,-0.2,Lost W. Conf. 1st Rnd.,N. McMillan (48-34),L. Aldridge (11.1),29
2009-10,NBA,Portland Trail Blazers*,50,32,0.61,3rd of 5,3.18,87.7,-5,110.8,3.2,107.1,-0.5,Lost W. Conf. 1st Rnd.,N. McMillan (50-32),B. Roy (9.1),29
2008-09,NBA,Portland Trail Blazers*,54,28,0.659,2nd of 5,5,86.6,-5.1,113.9,5.6,107.8,-0.5,Lost W. Conf. 1st Rnd.,N. McMillan (54-28),B. Roy (13.5),29
2007-08,NBA,Portland Trail Blazers,41,41,0.5,3rd of 5,-0.52,87.9,-4.5,107.3,-0.2,108.4,0.9,,N. McMillan (41-41),B. Roy (8.0),29
2006-07,NBA,Portland Trail Blazers,32,50,0.39,3rd of 5,-3.78,88.3,-3.6,105.1,-1.4,109.9,3.4,,N. McMillan (32-50),Z. Randolph (5.7),29
2005-06,NBA,Portland Trail Blazers,21,61,0.256,5th of 5,-8.91,87.6,-2.9,101.1,-5.1,111.9,5.7,,N. McMillan (21-61),S. Blake (2.8),29
2004-05,NBA,Portland Trail Blazers,27,55,0.329,4th of 5,-3.45,89.8,-1.1,103.2,-2.9,107.7,1.6,,M. Cheeks (22-33) K. Pritchard (5-22),D. Stoudamire (5.7),29
2003-04,NBA,Portland Trail Blazers,41,41,0.5,3rd of 7,-0.58,86.2,-3.9,103.7,0.8,105.1,2.2,,M. Cheeks (41-41),Z. Randolph (7.1),29
2002-03,NBA,Portland Trail Blazers*,50,32,0.61,3rd of 7,2.97,89.4,-1.6,105.5,1.9,102.6,-1,Lost W. Conf. 1st Rnd.,M. Cheeks (50-32),R. Wallace (8.5),29
2001-02,NBA,Portland Trail Blazers*,49,33,0.598,3rd of 7,3.21,89.3,-1.4,107.4,2.9,104,-0.5,Lost W. Conf. 1st Rnd.,M. Cheeks (49-33),R. Wallace (9.7),29
2000-01,NBA,Portland Trail Blazers*,50,32,0.61,4th of 7,4.52,89.1,-2.2,106.5,3.5,101.8,-1.2,Lost W. Conf. 1st Rnd.,M. Dunleavy (50-32),R. Wallace (11.0),29
1999-00,NBA,Portland Trail Blazers*,59,23,0.72,2nd of 7,6.36,89.9,-3.2,107.9,3.8,100.8,-3.3,Lost W. Conf. Finals,M. Dunleavy (59-23),S. Smith (10.4),29
1998-99,NBA,Portland Trail Blazers*,35,15,0.7,1st of 7,5.67,89.2,0.3,104.8,2.6,97.7,-4.5,Lost W. Conf. Finals,M. Dunleavy (35-15),B. Grant (5.9),29
1997-98,NBA,Portland Trail Blazers*,46,36,0.561,4th of 7,0.83,90,-0.3,104,-1,102.4,-2.6,Lost W. Conf. 1st Rnd.,M. Dunleavy (46-36),A. Sabonis (9.7),29
1996-97,NBA,Portland Trail Blazers*,49,33,0.598,3rd of 7,3.56,90.9,0.8,107.9,1.2,103.3,-3.4,Lost W. Conf. 1st Rnd.,P. Carlesimo (49-33),K. Anderson (12.4),29
1995-96,NBA,Portland Trail Blazers*,44,38,0.537,3rd of 7,2.21,92.6,0.8,106,-1.6,103.5,-4.1,Lost W. Conf. 1st Rnd.,P. Carlesimo (44-38),A. Sabonis (8.4),29
1994-95,NBA,Portland Trail Blazers*,44,38,0.537,4th of 7,3.8,93.8,0.9,109.7,1.4,105.7,-2.6,Lost W. Conf. 1st Rnd.,P. Carlesimo (44-38),C. Robinson (8.7),29
1993-94,NBA,Portland Trail Blazers*,47,35,0.573,4th of 7,2.6,98.8,3.7,108.1,1.8,105.5,-0.8,Lost W. Conf. 1st Rnd.,R. Adelman (47-35),R. Strickland (9.3),29
1992-93,NBA,Portland Trail Blazers*,51,31,0.622,3rd of 7,2.92,99.1,2.3,108.3,0.3,105.2,-2.8,Lost W. Conf. 1st Rnd.,R. Adelman (51-31),T. Porter (8.8),29
1991-92,NBA,Portland Trail Blazers*,57,25,0.695,1st of 7,6.94,99,2.4,111.4,3.2,104.2,-4,Lost Finals,R. Adelman (57-25),C. Drexler (12.8),29
1990-91,NBA,Portland Trail Blazers*,63,19,0.768,1st of 7,8.47,100.5,2.7,112.8,4.9,104.3,-3.6,Lost W. Conf. Finals,R. Adelman (63-19),T. Porter (13.0),29
1989-90,NBA,Portland Trail Blazers*,59,23,0.72,2nd of 7,6.48,102.3,4,110.5,2.4,104.4,-3.7,Lost Finals,R. Adelman (59-23),T. Porter (11.7),29
1988-89,NBA,Portland Trail Blazers*,39,43,0.476,5th of 7,0.92,103.9,3.3,109.4,1.6,108,0.2,Lost W. Conf. 1st Rnd.,M. Schuler (25-22) R. Adelman (14-21),C. Drexler (12.6),29
1987-88,NBA,Portland Trail Blazers*,53,29,0.646,2nd of 6,3.59,103.6,4,111.8,3.8,107.4,-0.6,Lost W. Conf. 1st Rnd.,M. Schuler (53-29),C. Drexler (13.2),29
1986-87,NBA,Portland Trail Blazers*,49,33,0.598,2nd of 6,2.57,105,4.2,111.5,3.2,108.6,0.3,Lost W. Conf. 1st Rnd.,M. Schuler (49-33),K. Vandeweghe (10.8),29
1985-86,NBA,Portland Trail Blazers*,40,42,0.488,2nd of 6,0.61,104.5,2.4,109.2,2,108.2,1,Lost W. Conf. 1st Rnd.,J. Ramsay (40-42),K. Vandeweghe (9.9),29
1984-85,NBA,Portland Trail Blazers*,42,40,0.512,2nd of 6,2.8,103.5,1.4,110.4,2.5,107.2,-0.7,Lost W. Conf. Semis,J. Ramsay (42-40),K. Vandeweghe (8.4),29
1983-84,NBA,Portland Trail Blazers*,48,34,0.585,2nd of 6,3.13,101.1,-0.3,111.2,3.6,107.7,0.1,Lost W. Conf. 1st Rnd.,J. Ramsay (48-34),J. Paxson (9.5),29
1982-83,NBA,Portland Trail Blazers*,46,36,0.561,4th of 6,1.88,101,-2.1,106,1.3,103.9,-0.8,Lost W. Conf. Semis,J. Ramsay (46-36),J. Paxson (10.2),29
1981-82,NBA,Portland Trail Blazers,42,40,0.512,5th of 6,0.39,100.5,-0.4,108.8,1.9,108.2,1.3,,J. Ramsay (42-40),C. Natt (9.3),29
1980-81,NBA,Portland Trail Blazers*,45,37,0.549,3rd of 6,0.52,103,1.2,106.5,1,105.7,0.2,Lost W. Conf. 1st Rnd.,J. Ramsay (45-37),J. Paxson (7.7),29
1979-80,NBA,Portland Trail Blazers*,38,44,0.463,4th of 6,-0.87,98.6,-4.5,103.4,-1.9,104.3,-1,Lost W. Conf. 1st Rnd.,J. Ramsay (38-44),K. Washington (9.1),29
1978-79,NBA,Portland Trail Blazers*,45,37,0.549,4th of 6,1.12,103.4,-2.4,104.3,0.5,103.1,-0.7,Lost W. Conf. 1st Rnd.,J. Ramsay (45-37),T. Owens (10.4),29
1977-78,NBA,Portland Trail Blazers*,58,24,0.707,1st of 5,5.92,104.2,-2.5,103.1,2.2,97.2,-3.7,Lost W. Conf. Semis,J. Ramsay (58-24),B. Walton (8.4),29
1976-77,NBA,Portland Trail Blazers*,49,33,0.598,2nd of 5,5.39,108,1.5,103.2,3.7,98,-1.5,Won Finals,J. Ramsay (49-33),B. Walton (10.2),29
1975-76,NBA,Portland Trail Blazers,37,45,0.451,5th of 5,-1.11,107.7,2.2,96.4,-1.9,97.6,-0.7,,L. Wilkens (37-45),S. Wicks (7.1),29
1974-75,NBA,Portland Trail Blazers,38,44,0.463,3rd of 5,0.27,104.7,0.2,98.1,0.4,97.7,0,,L. Wilkens (38-44),S. Wicks (9.7),29
1973-74,NBA,Portland Trail Blazers,27,55,0.329,5th of 5,-4.3,108.5,0.7,98.2,0.5,102.6,4.9,,J. McCloskey (27-55),S. Wicks (5.6),29
1972-73,NBA,Portland Trail Blazers,21,61,0.256,5th of 5,-5.67,110.4,-0.3,95.9,-0.9,101.5,4.7,,J. McCloskey (21-61),S. Wicks (5.6),29
1971-72,NBA,Portland Trail Blazers,18,64,0.22,5th of 5,-8.84,112.3,0.3,94.5,-3.4,103.1,5.2,,R. Todd (12-44) S. Inman (6-20),D. Schlueter (6.3),29
1970-71,NBA,Portland Trail Blazers,29,53,0.354,5th of 5,-6.2,120.6,5.5,95.4,-1.8,99.1,1.9,,R. Todd (29-53),G. Petrie (6.2),29
